timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1634152118526164 0.057573035 -0.066233017 -6.802359581 -0.035692900 0.056621227 -0.158160672 0.000950065 0.002631809 -0.005586643 0.999980569 -0.013170577 -0.011853049 -0.002919520
1634152118586250 0.058700725 -0.065408349 -6.810492516 -0.035986580 0.057129361 -0.248643652 0.000937836 0.002967642 -0.005648641 0.999979258 0.019257534 -0.002043691 0.001381484
1634152118626250 0.059075881 -0.064513221 -6.821229458 -0.036488969 0.057530724 -0.334848434 0.000941835 0.002940285 -0.004983840 0.999982893 0.034408718 0.003531239 -0.002117443
1634152118686335 0.059152000 -0.062851436 -6.838193893 -0.036720537 0.055144016 -0.288684577 0.000936137 0.003085942 -0.004412414 0.999985039 0.006444051 -0.009502720 0.000782463
1634152118726335 0.058952715 -0.061596796 -6.847112656 -0.036624387 0.054077566 -0.235324264 0.000967734 0.003308432 -0.004428194 0.999984324 -0.002802207 -0.013952329 -0.002915034
1634152118786421 0.059476811 -0.062938087 -6.855051994 -0.037066635 0.050885834 -0.169587553 0.000971816 0.003615249 -0.004659080 0.999982178 -0.009281777 -0.008867214 0.001509497
1634152118826421 0.059632979 -0.063869916 -6.858695030 -0.037979539 0.049308140 -0.139801532 0.000940493 0.003796925 -0.004911801 0.999980271 -0.014911569 -0.008874688 0.003262718
1634152118886506 0.059370395 -0.064622760 -6.862331390 -0.039459091 0.049230464 -0.110470824 0.000952054 0.003947415 -0.005399814 0.999977171 -0.023426747 0.018175844 0.003682567
1634152118926506 0.058921833 -0.064723067 -6.863441944 -0.038436726 0.049535688 -0.059061009 0.000254912 -0.007492397 -0.013904415 0.999875307 -0.841223896 1.179528713 0.083010495
1634152118986592 0.058980443 -0.063582130 -6.865357399 0.010920175 0.086296484 -0.154237002 -0.003072876 -0.070950285 -0.051756602 0.996131539 -1.405934215 2.595382690 0.163145617
1634152119026592 0.061513882 -0.060691595 -6.869529724 0.079907507 0.128883868 -0.130524218 -0.005959773 -0.111715667 -0.071834795 0.991122603 -0.627040863 1.418679714 0.198328853
1634152119086678 0.071106575 -0.052361306 -6.872962475 0.216400832 0.209430739 -0.092694372 -0.011669174 -0.116988055 -0.071878657 0.990460098 0.429013640 -0.784607291 0.181210071
1634152119126678 0.081962802 -0.043892745 -6.875037670 0.301310301 0.257957399 -0.094677739 -0.014917541 -0.092432722 -0.057856463 0.993924677 0.831117392 -1.557391047 0.127990261
1634152119186764 0.105523311 -0.031147595 -6.878662586 0.378152013 0.296056300 -0.098766923 -0.017647658 -0.039442036 -0.027975256 0.998674273 1.000208855 -1.867040038 0.037838764
1634152119226764 0.122876301 -0.021864111 -6.881309032 0.392574310 0.299355000 -0.100945190 -0.018134672 -0.004250316 -0.008367340 0.999791503 0.876305997 -1.657895088 -0.003100798
1634152119286849 0.148173749 -0.007800328 -6.885316372 0.367127568 0.278176248 -0.100803241 -0.017350318 0.035712268 0.013516955 0.999120057 0.531636417 -1.022266865 -0.049464375
1634152119326849 0.163493007 0.001045507 -6.886890411 0.336378604 0.258663833 -0.037925851 -0.016930608 0.041834455 0.015283247 0.998864233 -0.354660064 0.386142522 0.020988958
1634152119386935 0.184106186 0.013669259 -6.884953976 0.304082602 0.247258976 -0.014945023 -0.018699877 -0.001389582 -0.024468608 0.999524772 -1.982686162 2.198235989 0.130371794
