timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1634146469346778 0.025941551 -0.019054109 -6.815647602 -0.019127108 0.010704413 -0.171819657 0.000774191 0.003563229 0.000093540 0.999993324 -0.001621811 0.001183606 -0.001887592
1634146469398861 0.025614541 -0.019395178 -6.828557968 -0.018616332 0.012246648 -0.154527918 0.000804007 0.003572917 0.000095048 0.999993324 -0.003902395 0.000958107 -0.002575670
1634146469446861 0.025243148 -0.019555246 -6.838984489 -0.019004656 0.013633580 -0.091973737 0.000817252 0.002481912 -0.001136688 0.999996006 -0.101733588 0.090557843 0.002204721
1634146469498943 0.024738029 -0.019430017 -6.845839977 -0.016400855 0.016824873 -0.013350595 0.000813774 -0.000964713 -0.004646465 0.999988437 -0.149659947 0.150618166 0.002147251
1634146469546943 0.024608953 -0.020449171 -6.849483967 -0.010987533 0.021722529 0.098785602 0.000810567 -0.005737291 -0.009360305 0.999939442 -0.237256542 0.237107798 0.006531961
1634146469599025 0.024991050 -0.022652907 -6.848711491 -0.000991228 0.031486984 0.213564932 0.000755831 -0.012427903 -0.016001619 0.999794424 -0.256540030 0.258477181 0.001625381
1634146469647025 0.025820855 -0.023917878 -6.841745853 0.011505833 0.043430749 0.355631739 0.000640809 -0.019098213 -0.022623388 0.999561489 -0.297861844 0.291358352 0.009945250
1634146469699107 0.027384883 -0.023815563 -6.825431824 0.030892538 0.062471811 0.497339100 0.000507700 -0.026516125 -0.030141838 0.999193728 -0.264890403 0.259137690 0.006314246
1634146469747107 0.029723603 -0.022588709 -6.803248405 0.050800607 0.082144074 0.659576833 0.000350125 -0.032786462 -0.036476642 0.998796523 -0.265197247 0.263816237 0.007015188
1634146469799189 0.033327796 -0.019530201 -6.769715309 0.077417448 0.109800063 0.812606156 0.000169886 -0.039134063 -0.042791385 0.998317361 -0.212692544 0.213632002 0.008180910
1634146469847189 0.037868876 -0.015293892 -6.731458187 0.102635577 0.134293362 0.982260585 0.000027475 -0.044047303 -0.047729302 0.997888684 -0.207683206 0.205774054 0.006659683
1634146469899271 0.044156715 -0.008882972 -6.680624008 0.134653166 0.166586965 1.140714169 -0.000192058 -0.048785973 -0.052475281 0.997429848 -0.152255550 0.157482788 0.012336347
